Student_ID,First_Name,Surname,Year,Parent_Name,PhoneNumber
101,George,Smith,5,Chris,+447760000000
102,Elliot,Smith,1,Chris,+447760000000
103,Sam,Brown,4,Sarah,+447834000000
104,Isla,Hill,6,Sarah,+447834000000
105,Emily,Jackson,2,John,+447800112271
106,Rowan,Harris,3,Corrine,+447800112290
107,Martha,Gregory,1,Phil,+447800112309
108,Frazer,Martin,3,Corrine,+447800112290
109,Jade,Livermore,R,Pete,+447800112347
110,Oliva,Morrison,R,Michelle,+447800112366
111,George,O'Brien,5,Mark,+447800112385
112,James,Wallace,6,Laura,+447800112404
113,Oliver,Onyedinma,3,Caroline,+447800112423
